Id,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition,LotFrontage,MasVnrArea,GarageYrBlt,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
1,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,WD,Normal,-0.19047619047619052,1.180722891566265,0.5609756097560976,0.2352941176470588,0.03341980415527355,0.6666666666666665,0.5,0.9492753623188417,0.8833333333333329,0.12508858965272857,0.0,0.06421232876712328,0.14009819967266776,0.11977971546581001,0.4135593220338983,0.0,0.2592313489073097,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.5,0.0,0.5,0.38645980253878703,0.0,0.11151736745886655,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.5,208500
2,RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,WD,Normal,0.5238095238095238,0.0,-0.0975609756097561,0.0,0.03879501741101685,0.5555555555555556,0.875,0.7536231884057969,0.43333333333333,0.1732813607370659,0.0,0.12157534246575341,0.2065466448445172,0.21294171638366224,0.0,0.0,0.17483044461190655,0.0,0.5,0.6666666666666666,0.0,0.375,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.5,0.3244005641748942,0.34772462077012833,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.25,181500
3,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,WD,Normal,-0.04761904761904763,0.9759036144578312,0.5121951219512195,0.2352941176470588,0.04650727990838767,0.6666666666666665,0.5,0.9347826086956523,0.8666666666666671,0.08610914245216159,0.0,0.1857876712328767,0.15057283142389527,0.13446535107847638,0.41937046004842615,0.0,0.27354935945742276,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.5,0.4287729196050776,0.0,0.07678244972577697,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.5,223500
4,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Shng,None,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,WD,Abnorml,-0.4285714285714286,0.0,0.4390243902439025,0.2941176470588235,0.0385613124868541,0.6666666666666665,0.5,0.3115942028985508,0.3333333333333357,0.03827072997873848,0.0,0.23116438356164382,0.12373158756137481,0.14387333639284075,0.36610169491525424,0.0,0.2605501130369254,0.3333333333333333,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.41666666666666663,0.3333333333333333,0.75,0.4527503526093089,0.0,0.06398537477148081,0.4927536231884058,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,140000
5,RL,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,WD,Normal,0.7142857142857143,2.108433734939759,0.48780487804878053,0.2352941176470588,0.06057631634298535,0.7777777777777777,0.5,0.9275362318840585,0.8333333333333357,0.11605244507441531,0.0,0.20976027397260272,0.18739770867430444,0.18609453877925655,0.5099273607748184,0.0,0.35116804822908815,0.3333333333333333,0.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.75,0.5895627644569816,0.22403733955659275,0.15356489945155394,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.5,250000
6,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,Wood,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,WD,Normal,0.761904761904762,0.0,0.3170731707317074,0.17647058823529413,0.05989857206291336,0.4444444444444445,0.5,0.8768115942028984,0.75,0.12969525159461376,0.0,0.0273972602739726,0.13027823240589198,0.10601193207893528,0.27409200968523,0.0,0.19366993217784478,0.3333333333333333,0.0,0.3333333333333333,0.5,0.125,0.3333333333333333,0.24999999999999997,0.0,0.5,0.3385049365303244,0.04667444574095682,0.054844606946983544,0.0,0.6299212598425197,0.0,0.0,0.04516129032258065,0.8181818181818182,0.75,143000
7,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,WD,Normal,0.28571428571428575,1.1204819277108433,0.5853658536585367,0.0,0.04105728107691229,0.7777777777777777,0.5,0.9565217391304355,0.9166666666666643,0.24255846917080087,0.0,0.13570205479452055,0.27594108019639935,0.31206975676916016,0.0,0.0,0.2562170308967596,0.3333333333333333,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.41666666666666663,0.3333333333333333,0.5,0.4485190409026798,0.2975495915985997,0.10420475319926874,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.25,307000
8,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,WD,Normal,-2.285714285714286,1.4457831325301205,-0.17073170731707318,0.2352941176470588,0.04245016242492229,0.6666666666666665,0.625,0.7318840579710155,0.38333333333333286,0.15219702338766833,0.021709633649932156,0.09246575342465753,0.1811783960720131,0.1773749426342359,0.47602905569007264,0.0,0.3308214016578749,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.41666666666666663,0.6666666666666666,0.5,0.3413258110014104,0.2742123687281213,0.37294332723948814,0.41304347826086957,0.0,0.0,0.0,0.022580645161290325,0.9090909090909091,0.75,200000
9,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,Wd Shng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseF,TA,Min1,TA,Detchd,Unf,Fa,TA,Y,WD,Abnorml,-0.8571428571428572,0.0,-1.1951219512195124,0.17647058823529413,0.022529154689289302,0.6666666666666665,0.5,0.42753623188405854,0.0,0.0,0.0,0.40753424657534243,0.155810147299509,0.15787058283616337,0.3641646489104116,0.0,0.2712886209495102,0.0,0.0,0.6666666666666666,0.0,0.25,0.6666666666666666,0.5,0.6666666666666666,0.5,0.3300423131170663,0.10501750291715285,0.0,0.3713768115942029,0.0,0.0,0.0,0.0,0.2727272727272727,0.5,129900
10,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,Gd,TA,Y,WD,Normal,-0.9047619047619048,0.0,-1.0,1.0,0.028605482717520857,0.4444444444444445,0.625,0.4855072463768124,0.0,0.15077958894401133,0.0,0.059931506849315065,0.16219312602291328,0.17049105094079853,0.0,0.0,0.13997739261492087,0.3333333333333333,0.0,0.3333333333333333,0.0,0.25,0.6666666666666666,0.24999999999999997,0.6666666666666666,0.25,0.14456981664315938,0.0,0.007312614259597806,0.0,0.0,0.0,0.0,0.0,0.0,0.5,118000
